nazwa_oryginalna,etykieta_docelowa (z makra),standard_key,ryzyko,sekcja (uzupelnij),znak (uzupelnij)
ZYSK/STRATA BRUTTO (J+/-K-L+M+/–N),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk/Strata brutto (J-K+L+/-M),Zysk przed opodatkowaniem,before_tax_profit,,,
Zyska/strata brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
+Nabycie wartości niematerialnych i prawnych oraz rzeczowych aktywów trwałych,CAPEX (niematerialne i rzeczowe),capex,,,
2 Inwestycje w nieruchomości oraz wartości niematerialne i prawne,CAPEX (niematerialne i rzeczowe),capex,,,
CAPEX,CAPEX (niematerialne i rzeczowe),capex,nazwa generyczna - moze pasowac do wielu pozycji,,
"CAPEX (niematerialne i rzeczowe), wartości niematerialnych (w tym wydatki na R&D)",CAPEX (niematerialne i rzeczowe),capex,,,
CAPEX i wartości niematerialnych,CAPEX (niematerialne i rzeczowe),capex,,,
Nabycie rzeczowych aktywów trwałych i aktywów niematerialnych,CAPEX (niematerialne i rzeczowe),capex,,,
Nabycie rzeczowych aktywów trwałych i wartości niematerialnych (w tym wydatki na R&D),CAPEX (niematerialne i rzeczowe),capex,,,
Nabycie rzeczowych aktywów trwałych i wartości niematerialnych i prawnych,CAPEX (niematerialne i rzeczowe),capex,,,
Nabycie rzeczowych aktywów trwałych i wartości niematerialnych i prawnych oraz,CAPEX (niematerialne i rzeczowe),capex,,,
Nabycie rzeczowych aktywów trwałych i wartości niematerialnych oraz nowych aktywów niematerialnych,CAPEX (niematerialne i rzeczowe),capex,,,
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych innych niż prace rozwojowe,CAPEX (niematerialne i rzeczowe),capex,,,
"Nabycie rzeczowych aktywów trwałych, wartości niematerial- nych innych niż wartość firmy, nieruchomości inwestycyjnych oraz innych aktywów trwałych",CAPEX (niematerialne i rzeczowe),capex,,,
"Nabycie rzeczowych aktywów trwałych, wartości niematerialnych (w tym wydatki na R&D)",CAPEX (niematerialne i rzeczowe),capex,,,
Nabycie wartości niematerialnych i prawnych oraz rzeczowych aktywów trwałych,CAPEX (niematerialne i rzeczowe),capex,,,
Nabycie wartości niematerialnych i prawnych oraz rzeczowych środków trwałych,CAPEX (niematerialne i rzeczowe),capex,,,
Nabycie wartości niematerialnych i rzeczowych aktywów trwałych,CAPEX (niematerialne i rzeczowe),capex,,,
Nabycie wartości niematerialnych oraz rzeczowych aktywów trwałych,CAPEX (niematerialne i rzeczowe),capex,,,
"Nabycie wartości niematerialnych oraz rzeczowych aktywów trwałych, nieruchomości inwestycyjnych",CAPEX (niematerialne i rzeczowe),capex,,,
