nazwa_oryginalna,etykieta_docelowa (z makra),standard_key,ryzyko,sekcja (uzupelnij),znak (uzupelnij)
"Przepływy pieniężne netto razem (A,III,+B,III+C,III)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto razem (A,III±B,III±C,III)",Przepływy pieniężne razem,net_cashflow,,,
Przepływy pieniężne netto razem (A.III+/- B.III+/- C.III),Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto razem (AIII,+BIII,+CIII)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto razem (AIII,+BIII,+CIII,)",Przepływy pieniężne razem,net_cashflow,,,
PRZEPŁYWY PIENIĘŻNE NETTO RAZEM (I+II+III),Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto razem(A,III+/-B,III+/-C,III)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto, razem (A,III +/- B,III +/- C,III)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto, razem (A,III+/- B,III+/-C,III)",Przepływy pieniężne razem,net_cashflow,,,
"PRZEPŁYWY PIENIĘŻNE NETTO, RAZEM (A,III+/-B,III+/-C,III)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto, razem (A,IV+B,III+C,III)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto, razem (A,V+B,III+C,III)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto, razem (A.III+/-B.III+/-C.III)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto, razem (A.III+/–B.III+/-C.III)",Przepływy pieniężne razem,net_cashflow,,,
"PRZEPŁYWY PIENIĘŻNE NETTO, RAZEM (AIV+/-BIII+/-CIII)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto, razem za okres",Przepływy pieniężne razem,net_cashflow,,,
Przepływy pieniężne razem,Przepływy pieniężne razem,net_cashflow,,,
Przepływy pieniężne razem (A.III+/-B.III+/-C.III),Przepływy pieniężne razem,net_cashflow,,,
Przepływy środków pieniężnych razem (A + B + C),Przepływy pieniężne razem,net_cashflow,,,
Przychody ze sprzedaży netto ogółem,Przepływy pieniężne razem,net_cashflow,,,
Razem przepływy pieniężne netto,Przepływy pieniężne razem,net_cashflow,,,
"Razem przepływy pieniężne netto, razem (A,III +/-B,III +/-C,III)",Przepływy pieniężne razem,net_cashflow,,,
"X Przepływy pieniężne netto, razem",Przepływy pieniężne razem,net_cashflow,,,
Zmiana stanu środków pieniężnych,Przepływy pieniężne razem,net_cashflow,,,
"Zmiana stanu środków pieniężnych netto, razem (A+B+C)",Przepływy pieniężne razem,net_cashflow,,,
Zmiana stanu śroków pieniężnych,Przepływy pieniężne razem,net_cashflow,,,
Zwiększenia (zmniejszenia) netto stanu środków pieniężnych i ich ekwiwalentów,Przepływy pieniężne razem,net_cashflow,,,
Zwiększenia/(zmniejszenia) netto środków pieniężnych i ich ekwiwalentów,Przepływy pieniężne razem,net_cashflow,,,
Zwiększenie (Zmniejszenie) netto środków pieniężnych i ich ekwiwalentów,Przepływy pieniężne razem,net_cashflow,,,
Zwiększenie (zmniejszenie) stanu środków pieniężnych i ich ekwiwalentów,Przepływy pieniężne razem,net_cashflow,,,
Zwiększenie (zmniejszenie) stanu środków pieniężnych i ich ekwiwalentów przed skutkami zmian kursów pieniężnych i ich ekwiwalentów przed,Przepływy pieniężne razem,net_cashflow,,,
Zwiększenie (zmniejszenie) stanu środków pieniężnych i ich ekwiwalentów przed skutkami zmian kursów wymiany),Przepływy pieniężne razem,net_cashflow,,,
Zwiększenie /(zmniejszenie) netto środków pieniężnych i ich ekwiwalentów,Przepływy pieniężne razem,net_cashflow,,,
Zwiększenie/ (zmniejszenie) netto środków pieniężnych,Przepływy pieniężne razem,net_cashflow,,,
Zwiększenie/ zmniejszenie stanu środków pieniężnych i ekwiwalentów środków pieniężnych,Przepływy pieniężne razem,net_cashflow,,,
Zwiększenie/(Zmniejszenie) netto stanu środków pieniężnych,Przepływy pieniężne razem,net_cashflow,,,
Zwiększenie/(zmniejszenie) netto środków pieniężnych i ich ekwiwalentów,Przepływy pieniężne razem,net_cashflow,,,
Zwiększenie/Zmniejszenie stanu środków pieniężnych,Przepływy pieniężne razem,net_cashflow,,,
J Zysk (strata) z działalności gospodarczej,Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
J Zysk (strata) z działalności gospodarczej (F + G - H +/- I),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
J Zysk (strata) z działalności gospodarczej (F+G–H+/–I),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
J Zysk (strata)z działalności gospodarczej (F+G-H+/-I),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
N Zysk / (strata) netto z działalności gospodarczej (L-M),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
Zysk (strata) brutto z działalności gospodarczej (I+J-K),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
Zysk (strata) z działalności gospodarczej (F + G - H +/- I),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
Zysk (strata) z działalności gospodarczej (F+G-H),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
Zysk (strata) z działalności gospodarczej (F+G-H+/-I),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
Zysk (strata) z działalności gospodarczej (F+G-H+I),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
Zysk (strata) z działalności gospodarczej (F+G-H+I),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
Zysk (strata) z działalności gospodarczej (F+G–H+/-I),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
ZYSK (STRATA) Z DZIAŁALNOŚCI GOSPODARCZEJ (F+G–H+/–I),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
Zysk (strata) z działalności gospodarczej (I + J - K +/- L),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
Zysk / Strata z działalności gospodarczej,Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
Zysk/strata netto z działalności gospodarczej (L-M-N),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
ZYSK/STRATA Z DZIAŁALNOŚCI GOSPODARCZEJ (F+G-H+/-I),Zysk (strata) z działalności gospodarczej,net_gross_profit,,,
(STRATA) NETTO,Zysk netto,net_profit,nazwa generyczna - moze pasowac do wielu pozycji; nazwa mowi o STRACIE - sprawdz znak,,
(STRATA) NETTO ZA OKRES SPRAWOZDAWCZY,Zysk netto,net_profit,nazwa mowi o STRACIE - sprawdz znak,,
(Strata)/Zysk netto za okres obrotowy,Zysk netto,net_profit,nazwa mowi o STRACIE - sprawdz znak,,
IV Zysk (strata) netto,Zysk netto,net_profit,,,
K Zysk (strata) netto (I - J - K),Zysk netto,net_profit,,,
L Zysk (strat) netto (I-J-K),Zysk netto,net_profit,,,
L Zysk (strata) netto,Zysk netto,net_profit,,,
L Zysk (strata) netto (I - J - K),Zysk netto,net_profit,,,
L Zysk (strata) netto (I-J-K),Zysk netto,net_profit,,,
L Zysk (strata) netto (I-J-K),Zysk netto,net_profit,,,
L Zysk (strata) netto (I–J–K),Zysk netto,net_profit,,,
L Zysk (Strata) netto (K-L-M),Zysk netto,net_profit,,,
L Zysk / strata netto,Zysk netto,net_profit,,,
L ZYSK/STRATA NETTO ( I-J-K ),Zysk netto,net_profit,,,
N Wynik okresu,Zysk netto,net_profit,,,
N Zysk (strata) netto (I-J-K),Zysk netto,net_profit,,,
N Zysk (strata) netto (J-K-L+/-M),Zysk netto,net_profit,,,
netto,Zysk netto,net_profit,nazwa generyczna - moze pasowac do wielu pozycji,,
O Zysk (strata) netto,Zysk netto,net_profit,,,
O Zysk (strata) netto (I-J-K),Zysk netto,net_profit,,,
O Zysk (strata) netto (L-M-N),Zysk netto,net_profit,,,
P Zysk / (strata) netto (N+O),Zysk netto,net_profit,,,
P ZYSK/STRATA NETTO (L-M-O),Zysk netto,net_profit,,,
Q Zysk (strata) netto (N-O-P),Zysk netto,net_profit,,,
R Zysk (strata) netto (N-O–P+/–Q),Zysk netto,net_profit,,,
R Zysk/Strata netto(N-O-P),Zysk netto,net_profit,,,
S Zysk (strata) netto (I-J-K),Zysk netto,net_profit,,,
S Zysk (strata) netto (N - O - P +/- R),Zysk netto,net_profit,,,
Strata netto,Zysk netto,net_profit,nazwa generyczna - moze pasowac do wielu pozycji; nazwa mowi o STRACIE - sprawdz znak,,
Wynik netto,Zysk netto,net_profit,nazwa generyczna - moze pasowac do wielu pozycji,,
Wynik netto (K-L-M),Zysk netto,net_profit,,,
Wynik netto za okres,Zysk netto,net_profit,,,
Wynik okresu,Zysk netto,net_profit,nazwa generyczna - moze pasowac do wielu pozycji,,
ZYSK ( STRATA ) NETTO ( I - J - K ),Zysk netto,net_profit,,,
Zysk ( strata ) netto ( I – J – K + L ),Zysk netto,net_profit,,,
Zysk ( strata) netto,Zysk netto,net_profit,,,
ZYSK (-STRATA) NETTO,Zysk netto,net_profit,,,
Zysk (starta) netto,Zysk netto,net_profit,,,
Zysk (strata),Zysk netto,net_profit,nazwa generyczna - moze pasowac do wielu pozycji,,
zysk (strata) netto,Zysk netto,net_profit,,,
Zysk (strata) netto ( N-O-P+/-R),Zysk netto,net_profit,,,
Zysk (strata) netto (H+I),Zysk netto,net_profit,,,
Zysk (strata) netto (I- J- K),Zysk netto,net_profit,,,
Zysk (strata) netto (I-J),Zysk netto,net_profit,,,
Zysk (strata) netto (I-J-K),Zysk netto,net_profit,,,
Zysk (strata) netto (I-J-K),Zysk netto,net_profit,,,
Zysk (strata) netto (IX-X-XI),Zysk netto,net_profit,,,
Zysk (strata) netto (I–J–K),Zysk netto,net_profit,,,
Zysk (strata) netto (J-K),Zysk netto,net_profit,,,
Zysk (strata) netto (J-K-L-N),Zysk netto,net_profit,,,
Zysk (strata) netto (K-L-M),Zysk netto,net_profit,,,
Zysk (strata) netto (K-L-M-N),Zysk netto,net_profit,,,
Zysk (strata) netto (K–L–M),Zysk netto,net_profit,,,
Zysk (strata) netto (L-M-N),Zysk netto,net_profit,,,
Zysk (strata) netto (L–M–N),Zysk netto,net_profit,,,
Zysk (strata) netto (L–M–N),Zysk netto,net_profit,,,
Zysk (strata) netto (M-N-O+/-P+/-Q),Zysk netto,net_profit,,,
Zysk (strata) netto (M-N-O-P),Zysk netto,net_profit,,,
Zysk (strata) netto (N - O - P +/- R),Zysk netto,net_profit,,,
Zysk (strata) netto (N – O – P +/– R),Zysk netto,net_profit,,,
ZYSK (STRATA) NETTO (N – O – P),Zysk netto,net_profit,,,
Zysk (strata) netto (N-O+P+/-R),Zysk netto,net_profit,,,
Zysk (strata) netto (N-O-P),Zysk netto,net_profit,,,
Zysk (strata) netto (N-O-P+/-Q+/-R),Zysk netto,net_profit,,,
Zysk (strata) netto (N-O-P+/-R),Zysk netto,net_profit,,,
Zysk (strata) netto (N–O–P+/-R),Zysk netto,net_profit,,,
ZYSK (STRATA) NETTO (N–O–P+/–R),Zysk netto,net_profit,,,
ZYSK (STRATA) NETTO (O-P-Q+/-R),Zysk netto,net_profit,,,
Zysk (strata) netto (XII+/-XIII),Zysk netto,net_profit,,,
Zysk (strata) netto (XIII-XIV+/-XV),Zysk netto,net_profit,,,
Zysk (strata) netto (XIII-XIV-XV),Zysk netto,net_profit,,,
Zysk (Strata) Netto (XXII-XXIII-XXIV),Zysk netto,net_profit,,,
Zysk (strata) netto ogółem,Zysk netto,net_profit,,,
Zysk (strata) netto okresu obrotowego,Zysk netto,net_profit,,,
Zysk (strata) netto razem,Zysk netto,net_profit,,,
Zysk (strata) netto z działalności,Zysk netto,net_profit,,,
Zysk (strata) netto za okres,Zysk netto,net_profit,,,
Zysk (strata) netto za okres,Zysk netto,net_profit,,,
Zysk (strata) netto za okres sprawozdawczy,Zysk netto,net_profit,,,
Zysk (strata) netto za rok obrotowy,Zysk netto,net_profit,,,
"Zysk (strata) netto, w tym przypadający/(a) na:",Zysk netto,net_profit,,,
"Zysk (strata) netto, w tym:",Zysk netto,net_profit,,,
Zysk (strata) netto:,Zysk netto,net_profit,,,
Zysk (strata) roku obrotowego,Zysk netto,net_profit,,,
Zysk (strata)netto,Zysk netto,net_profit,,,
zysk - strata netto,Zysk netto,net_profit,,,
Zysk / (Strata) netto,Zysk netto,net_profit,,,
ZYSK / (STRATA) NETTO OGÓŁEM,Zysk netto,net_profit,,,
Zysk / (Strata) netto za okres,Zysk netto,net_profit,,,
Zysk / (strata) netto za okres sprawozdawczy,Zysk netto,net_profit,,,
Zysk / (strata) netto za rok obrotowy,Zysk netto,net_profit,,,
Zysk / Strata netto,Zysk netto,net_profit,,,
Zysk / strata netto (I-J-K),Zysk netto,net_profit,,,
Zysk / Strata netto (I-J-K),Zysk netto,net_profit,,,
Zysk / Strata netto ogółem,Zysk netto,net_profit,,,
"Zysk / strata netto za okres sprawozdawczy, w tym:",Zysk netto,net_profit,,,
Zysk /(strata) netto,Zysk netto,net_profit,,,
Zysk /(strata) netto za okres,Zysk netto,net_profit,,,
Zysk /(Strata) netto za okres obrotowy,Zysk netto,net_profit,,,
ZYSK /(STRATA) NETTO ZA ROK OBROTOWY,Zysk netto,net_profit,,,
Zysk netto (I-J-K),Zysk netto,net_profit,,,
Zysk netto ogółem,Zysk netto,net_profit,,,
Zysk netto okresu,Zysk netto,net_profit,,,
Zysk netto okresu sprawozdawczego,Zysk netto,net_profit,,,
Zysk netto za okres,Zysk netto,net_profit,,,
Zysk netto za okres sprawozdawczy,Zysk netto,net_profit,,,
Zysk netto za rok obrotowy,Zysk netto,net_profit,,,
"Zysk netto, w tym przypisany::",Zysk netto,net_profit,,,
"Zysk netto, w tym:",Zysk netto,net_profit,,,
"Zysk netto, z tego przypadający:",Zysk netto,net_profit,,,
Zysk za okres,Zysk netto,net_profit,,,
Zysk za okres sprawozdawczy,Zysk netto,net_profit,,,
Zysk za rok obrotowy,Zysk netto,net_profit,,,
Zysk/ (strata) netto,Zysk netto,net_profit,,,
Zysk/ (strata) netto za rok obrotowy,Zysk netto,net_profit,,,
Zysk/(Strata) netto,Zysk netto,net_profit,,,
Zysk/(Strata) netto (I-J-K),Zysk netto,net_profit,,,
Zysk/(Strata) netto (K-L-M),Zysk netto,net_profit,,,
Zysk/(strata) netto razem,Zysk netto,net_profit,,,
Zysk/(strata) netto za okres,Zysk netto,net_profit,,,
Zysk/(Strata) netto za okres obrotowy,Zysk netto,net_profit,,,
Zysk/(strata) netto za okres sprawozdawczy,Zysk netto,net_profit,,,
Zysk/(strata) netto za rok obrotowy,Zysk netto,net_profit,,,
Zysk/(strata) przypadający:,Zysk netto,net_profit,,,
zysk/strata netto,Zysk netto,net_profit,,,
ZYSK/STRATA NETTO ( N-O-P+/-R),Zysk netto,net_profit,,,
ZYSK/STRATA NETTO (O-P-Q+/-R)),Zysk netto,net_profit,,,
Zysk/Strata netto ogółem,Zysk netto,net_profit,,,
Zysk/Strata netto okresu obrotowego,Zysk netto,net_profit,,,
Zysk/Strata netto okresu z działalności kontynuowanej,Zysk netto,net_profit,,,
Zysk/strata netto roku obrotowego,Zysk netto,net_profit,,,
Zysk/strata netto za okres sprawozdawczy,Zysk netto,net_profit,,,
Zysk/strata netto za okres:,Zysk netto,net_profit,,,
Zysk/strata netto za rok obrotowy (O+P),Zysk netto,net_profit,,,
[A] A Aktywa trwałe,Aktywa trwałe,noncurrent_assets,,,
A AKTYWA TRWAŁE (I+II+II+IV+V),Aktywa trwałe,noncurrent_assets,,,
"A,Aktywatrwałe",Aktywa trwałe,noncurrent_assets,nazwa generyczna - moze pasowac do wielu pozycji,,
Aktywa ogółem trwałe,Aktywa trwałe,noncurrent_assets,,,
Aktywa razem trwałe,Aktywa trwałe,noncurrent_assets,,,
Aktywa trwałe (długoterminowe),Aktywa trwałe,noncurrent_assets,,,
Aktywa trwałe (długoterminowe) ogółem,Aktywa trwałe,noncurrent_assets,,,
AKTYWA TRWAŁE (I+II+III+IV),Aktywa trwałe,noncurrent_assets,,,
AKTYWA TRWAŁE (I+II+III+IV+V),Aktywa trwałe,noncurrent_assets,,,
AKTYWA TRWAŁE DŁUGOTERMINOWE,Aktywa trwałe,noncurrent_assets,,,
Aktywa trwałe ogółem,Aktywa trwałe,noncurrent_assets,,,
I AKTYWA TRWAŁE,Aktywa trwałe,noncurrent_assets,,,
"I,Aktywa trwałe",Aktywa trwałe,noncurrent_assets,,,
"I,Aktywatrwałe",Aktywa trwałe,noncurrent_assets,nazwa generyczna - moze pasowac do wielu pozycji,,
Razem aktywa trwałe,Aktywa trwałe,noncurrent_assets,,,
"[P] B,II Zobowiązania długoterminowe",Zobowiązania długoterminowe,noncurrent_liabilities,,,
A ZOBOWIĄZANIA DŁUGOTERMINOWE,Zobowiązania długoterminowe,noncurrent_liabilities,,,
"D,II +Zobowiązania długoterminowe",Zobowiązania długoterminowe,noncurrent_liabilities,,,
"D,II Zobowiązania długoterminowe",Zobowiązania długoterminowe,noncurrent_liabilities,,,
Długoterminowe zobowiązania,Zobowiązania długoterminowe,noncurrent_liabilities,nazwa generyczna - moze pasowac do wielu pozycji,,
Długoterminowe zobowiązania i rezerwy na zobowiązania,Zobowiązania długoterminowe,noncurrent_liabilities,,,
"II,Zobowiązaniadługoterminowe",Zobowiązania długoterminowe,noncurrent_liabilities,nazwa generyczna - moze pasowac do wielu pozycji,,
Razem zobowiązania długoterminowe,Zobowiązania długoterminowe,noncurrent_liabilities,,,
Zobowiązania długoterminowe (na koniec bieżącego kwartału i koniec poprzedniego roku obrotowego),Zobowiązania długoterminowe,noncurrent_liabilities,,,
Zobowiązania długoterminowe i rezerwy na zobowiązania,Zobowiązania długoterminowe,noncurrent_liabilities,,,
Zobowiązania długoterminowe ogółem,Zobowiązania długoterminowe,noncurrent_liabilities,,,
Zobowiązania i rezerwy długoterminowe,Zobowiązania długoterminowe,noncurrent_liabilities,,,
Zobowiązanie długoterminowe razem,Zobowiązania długoterminowe,noncurrent_liabilities,,,
+Przepływy pieniężne netto z działalności operacyjnej (I+/-II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
9 Pozostałe przychody operacyjne,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
"A,III +Przepływy pieniężne netto z działalności operacyjnej (I+/-II)",Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
III Przepływy pieniężne netto z działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
III Przepływy pieniężne netto z działalności operacyjnej (I +/- II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
III Przepływy pieniężne netto z działalności operacyjnej (I ± II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
III Przepływy pieniężne netto z działalności operacyjnej (I+/-II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
III Przepływy pieniężne netto z działalności operacyjnej (I±II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
"III Przepływy pieniężne netto z działalności operacyjnej, razem",Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
"III,Przepływy pieniężne netto z działalności operacyjnej (I +/-II)",Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
"III,Przepływy pieniężne netto z działalności operacyjnej (I+/-II)",Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
IV Przepływy pieniężne z działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływ pieniężne netto z działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy netto z działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pienięzne z działalności operacyjnej (I+/-II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto działalności operacyjnej razem,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej ( I+/-II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (działalność kontynuowana),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (I + II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (I +/- II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (I +/-II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (I ± II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (I+/ -II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (I+/- II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (I+/-II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (I+/-II) - metoda pośrednia,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (I+/–II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (I+II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (III+ Podatek zapłacony /zwrócony),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej (I±II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne netto z działalności operacyjnej razem,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne z działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy pieniężne z/(wykorzystane w) działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy z dział operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy z działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy środków pieniężnych netto z działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy środków pieniężnych netto z działalności operacyjnej (I+/-II),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy środków pieniężnych z działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy środków pieniężnych z działalności operacyjnej - metoda pośrednia (I+II+III),Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
PRZEPŁYWY ŚRODKÓW PIENIĘŻNYCH Z DZIAŁALNOŚCI OPERACYJNEJ RAZEM,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Przepływy środków z działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
PŚrodki pieniężne netto wykorzystane w działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
VII Przepływy pieniężne netto z działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Środki pieniężne i inne aktywa pieniężne netto z działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
ŚRODKI PIENIĘŻNE NETTO (WYKORZYSTANE W) DZIAŁALNOŚCI OPERACYJNEJ,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Środki pieniężne netto wygenerowane w działalności operacyjnej,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Środki pieniężne wygenerowane na działalności operacyjnej przed opodatkowaniem,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
Środki pieniężne z działalności operacyjnej netto,Przepływy pienięzne z działalności operacyjnej,operating_cashflow,,,
"Kapitał (fundusz) zapasowy, w tym:",Kapitał (fundusz) zapasowy,reserve,,,
Kapitał zapasowy oraz pozostałe kapitały rezerwowe,Kapitał (fundusz) zapasowy,reserve,,,
"A Przychody netto ze sprzedaży i zrównane z nimi, w tym:",Przychody ze sprzedaży,revenues,,,
"A Przychody netto ze sprzedaży i zrównane z nimi, w tym: od jednostek powiązanych",Przychody ze sprzedaży,revenues,,,
"A PRZYCHODY NETTO ZE SPRZEDAŻY I ZRÓWNANIE Z NIMI, W TYM",Przychody ze sprzedaży,revenues,,,
A Przychody ze sprzedaży,Przychody ze sprzedaży,revenues,,,
A Przychody ze sprzedaży i zrównane z nimi,Przychody ze sprzedaży,revenues,,,
"A Przychody ze sprzedaży i zrównane z nimi,",Przychody ze sprzedaży,revenues,,,
"A Przychody ze sprzedaży i zrównane z nimi, w tym",Przychody ze sprzedaży,revenues,,,
"A,Przychody netto ze sprzedaży i zrównane z nimi, w tym:",Przychody ze sprzedaży,revenues,,,
I Przychody ze sprzedaży,Przychody ze sprzedaży,revenues,,,
Przychody,Przychody ze sprzedaży,revenues,nazwa generyczna - moze pasowac do wielu pozycji,,
"Przychody netto ze sprzeda!y i zrównane z nimi, w tym:",Przychody ze sprzedaży,revenues,,,
Przychody netto ze sprzedaży,Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży i z równane z nimi, w tym:",Przychody ze sprzedaży,revenues,,,
Przychody netto ze sprzedaży i zrównane z nimi,Przychody ze sprzedaży,revenues,,,
Przychody netto ze sprzedaży i zrównane z nimi w tym:,Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży i zrównane z nimi,",Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży i zrównane z nimi, w tym:",Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży i zrównane z nimi, w tym: od jednostek powiązanych",Przychody ze sprzedaży,revenues,,,
Przychody netto ze sprzedaży i zrównane z nimi:,Przychody ze sprzedaży,revenues,,,
Przychody netto ze sprzedaży i zrównanie z nimi w tym:,Przychody ze sprzedaży,revenues,,,
"PRZYCHODY NETTO ZE SPRZEDAŻY I ZRÓWNANIE Z NIMI, w tym :",Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży i zrównanie z nimi, w tym:",Przychody ze sprzedaży,revenues,,,
Przychody netto ze sprzedaży produktów,Przychody ze sprzedaży,revenues,,,
Przychody netto ze sprzedaży produktów i towarów,Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży produktów i towarów, w tym:",Przychody ze sprzedaży,revenues,,,
Przychody netto ze sprzedaży produktów i usług,Przychody ze sprzedaży,revenues,,,
Przychody netto ze sprzedaży produktów i usług oraz towarów i materiałów,Przychody ze sprzedaży,revenues,,,
Przychody netto ze sprzedaży produktów towarów i materiałów w tym:,Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży produktów, towarów",Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży produktów, towarów i materiałów",Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży produktów, towarów i materiałów w tym :",Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży produktów, towarów i materiałów, w tym:",Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży produktów, towarów, materiałów i usług, w tym:",Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży produktów, towarów, materiałów i usług, w tym:",Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży produktów, towarów, w tym:",Przychody ze sprzedaży,revenues,,,
"Przychody netto ze sprzedaży produktów, usług, towarów i materiałów",Przychody ze sprzedaży,revenues,,,
Przychody netto ze sprzedaży towarów i materiałów,Przychody ze sprzedaży,revenues,,,
"PRZYCHODY NETTO ZE SPRZEDAŻY, W TYM:",Przychody ze sprzedaży,revenues,,,
